purpose	level	name	size	start	end
focus	pango_lineage	B.1.1.7	30		2020-08-30
focus	pango_lineage	B.1.351	6		2020-08-30
focus	pango_lineage	B.1.375	6		2020-08-30
focus	pango_lineage	B.1.1.28	5		2020-08-30
focus	country_exposure	USA	50		2020-08-30
context	country_exposure	South Africa	10		2020-08-30
context	region_exposure	Europe	30		2020-08-30
context	region_exposure	Asia	10		2020-08-30
context	country_exposure	Canada	15		2020-08-30
ignore	country_exposure	India			
ignore	country_exposure	Bangladesh			
ignore	country_exposure	Saudi Arabia			