purpose	filter	value	filter2	value2	sample_size	start	end
focus	division	Connecticut			9999	2021-05-01	
context	pango_lineage	B.1.617.2			10		2021-04-30
context	pango_lineage	AY.1			10		2021-04-30
context	pango_lineage	AY.2			10		2021-04-30
context	pango_lineage	AY.3			10		2021-04-30
context	pango_lineage	B.1.1.7			10		2021-04-30
context	pango_lineage	B.1.351			10		2021-04-30
context	pango_lineage	B.1.427			10		2021-04-30
context	pango_lineage	B.1.429			10		2021-04-30
context	pango_lineage	B.1.525			10		2021-04-30
context	pango_lineage	B.1.526			10		2021-04-30
context	pango_lineage	P.1			10		2021-04-30
context	pango_lineage	B.1.617.1			10		2021-04-30
context	pango_lineage	C.37			10		2021-04-30